Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
III,"Information Services Group, Inc.",4.14,179194228.2,n/a,n/a,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/iii
IFON,InfoSonics Corp,1.75,1182210.75,n/a,n/a,Consumer Non-Durables,Electronic Components,http://www.nasdaq.com/symbol/ifon
IMKTA,"Ingles Markets, Incorporated",25.15,509533366.4,n/a,1987,Consumer Services,Food Chains,http://www.nasdaq.com/symbol/imkta
INWK,"InnerWorkings, Inc.",11.56,630079857.7,n/a,2006,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/inwk
INOD,Innodata Inc.,1.35,34934562.9,n/a,1993,Technology,EDP Services,http://www.nasdaq.com/symbol/inod
IPHS,"Innophos Holdings, Inc.",49.66,969669453.2,n/a,2006,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/iphs
IOSP,Innospec Inc.,62.95,1519401677,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/iosp
ISSC,"Innovative Solutions and Support, Inc.",3.44,57733963.76,n/a,2000,Technology,EDP Services,http://www.nasdaq.com/symbol/issc
INVA,"Innoviva, Inc.",13.76,1504803837,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/inva
INGN,"Inogen, Inc",94.38,1956158104,n/a,2014,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/ingn
ITEK,Inotek Pharmaceuticals Corporation,2.74,74007953.48,n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/itek
INOV,"Inovalon Holdings, Inc.",17.45,2544414654,n/a,2015,Technology,EDP Services,http://www.nasdaq.com/symbol/inov
INO,"Inovio Pharmaceuticals, Inc.",6.24,563017565.8,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/ino
INPX,Inpixon ,0.37,3791755.93,n/a,2014,Technology,EDP Services,http://www.nasdaq.com/symbol/inpx
INSG,Inseego Corp.,1.39,78110945.75,n/a,n/a,Consumer Durables,Telecommunications Equipment,http://www.nasdaq.com/symbol/insg
NSIT,"Insight Enterprises, Inc.",45.17,1616461209,n/a,1995,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/nsit
ISIG,"Insignia Systems, Inc.",1.12,13254768.8,n/a,1991,Consumer Services,Advertising,http://www.nasdaq.com/symbol/isig
INSM,"Insmed, Inc.",28.02,2143559869,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/insm
